event_id,hvdc_code,event_type,location,location_code,location_match_method,location_match_score,event_date,source,raw
sev_HVDCADOPTHE0009_DAS_2025-06-10,HVDC-ADOPT-HE-0009,SITE,DAS,,NONE,0.0000,2025-06-10,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-17"", ""count"": 24, ""field"": ""DAS""}"
sev_HVDCADOPTHE0010_DSVIndoor_2024-01-27,HVDC-ADOPT-HE-0010,WH,DSV Indoor,,NONE,0.0000,2024-01-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-11-26"", ""count"": 27, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0010_DAS_2025-06-17,HVDC-ADOPT-HE-0010,SITE,DAS,,NONE,0.0000,2025-06-17,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-27"", ""count"": 27, ""field"": ""DAS""}"
sev_HVDCADOPTHE0011_DSVIndoor_2024-01-27,HVDC-ADOPT-HE-0011,WH,DSV Indoor,,NONE,0.0000,2024-01-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-11-26"", ""count"": 24, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0011_DAS_2025-06-27,HVDC-ADOPT-HE-0011,SITE,DAS,,NONE,0.0000,2025-06-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-30"", ""count"": 24, ""field"": ""DAS""}"
sev_HVDCADOPTHE0012_DSVOutdoor_2024-01-23,HVDC-ADOPT-HE-0012,WH,DSV Outdoor,,NONE,0.0000,2024-01-23,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-23"", ""count"": 2, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0012_MOSB_2025-05-26,HVDC-ADOPT-HE-0012,PORT,MOSB,,NONE,0.0000,2025-05-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-26"", ""count"": 2, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0012_DAS_2025-05-31,HVDC-ADOPT-HE-0012,SITE,DAS,,NONE,0.0000,2025-05-31,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-31"", ""count"": 2, ""field"": ""DAS""}"
sev_HVDCADOPTHE0013_DSVOutdoor_2024-01-23,HVDC-ADOPT-HE-0013,WH,DSV Outdoor,,NONE,0.0000,2024-01-23,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-23"", ""count"": 1, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0013_MOSB_2025-05-26,HVDC-ADOPT-HE-0013,PORT,MOSB,,NONE,0.0000,2025-05-26,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-26"", ""count"": 1, ""field"": ""MOSB""}"
