hvdc_code,case_no,site_code,eq_no,pkg,description,final_location,storage,l_cm,w_cm,h_cm,cbm,nw_kg,gw_kg,sqm,vendor
HVDC-ADOPT-HE-0005,207651,DAS,EQ-001,1,Small Items Site Assembly,DAS,Outdoor covered,323.0,103.0,77.0,2.561713,853.0,1065.0,3.3269,HITACHI
HVDC-ADOPT-HE-0005,207688,DAS,EQ-001,1,Top + bottom conductors Positive,DAS,Outdoor covered,270.0,105.0,136.0,3.8556,336.0,475.0,2.835,HITACHI
HVDC-ADOPT-HE-0005,207689,DAS,EQ-001,1,Top + bottom conductors Positive,DAS,Outdoor covered,270.0,105.0,136.0,3.8556,336.0,475.0,2.835,HITACHI
HVDC-ADOPT-HE-0005,207690,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207691,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207692,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207693,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207694,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207695,DAS,EQ-001,1,Insulator Connector,DAS,Outdoor covered,172.0,92.0,68.0,1.076032,668.0,760.0,1.5824,HITACHI
HVDC-ADOPT-HE-0005,207696,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0005,207697,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0005,207698,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0005,207700,DAS,EQ-001,1,Corona rings,DAS,Outdoor covered,113.0,80.0,110.0,0.9944,67.0,217.0,0.904,HITACHI
