hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0137,PRL-MIR-012-O2 Spare,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,8567.65
HVDC-ADOPT-HE-0138,PRL-CS-013-O1,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,3848.99
HVDC-ADOPT-HE-0139,PRL-CS-013-O2 Spare,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,3848.99
HVDC-ADOPT-HE-0140,PRL-ZAK-002-O Lot 4,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Houston,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0141,PRL-ZAK-002-O Lot 5,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Houston,85044083,SEK,320200.0
HVDC-ADOPT-HE-0142,PRL-MIR-002-O lot 3,HITACHI,Sweden,Gothenburg,Khalifa port,Edith Maersk,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0143,PRL-SHU-016-O1,HITACHI,Sweden,Uddevalla,Mugharraq,BBC Austria,85042300,SEK,62134.02
HVDC-ADOPT-HE-0144,PRL-SHU-016-O2,HITACHI,Sweden,Uddevalla,Mugharraq,BBC Austria,85042300,SEK,496805.7
HVDC-ADOPT-HE-0145,PRL-MIR-002-O Lot 5,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Hamburg,85044083,SEK,327582.0
HVDC-ADOPT-HE-0146,PRL-MIR-002-O Lot 4,HITACHI,Sweden,Gothenburg,Khalifa port,EDITH Maersk,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0147,PRL-CS-015-O1,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,14919.32
HVDC-ADOPT-HE-0148,PRL-CS-015-O2 Spare,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,14919.32
HVDC-ADOPT-HE-0149,PRL-MIR-013-O1,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0150,PRL-MIR-013-O2,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0151,PRL-MIR-013-O3 Spare,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0152,PRL-MIR-013-O4 Spare,HITACHI,Germany,Venezia,Khalifa port,MSC RENEE,85353090,EUR,35637.46
HVDC-ADOPT-HE-0153-1,PRL-MIR-002-O Lot 6-1,HITACHI,Sweden,Gothenburg,Khalifa port,Eugen Maersk,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0153-2,PRL-MIR-002-O Lot 6-2,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0154-1,PRL-MIR-002-O Lot 7-1,HITACHI,Sweden,Gothenburg,Khalifa port,Eugen Maersk,85044083,SEK,327582.0
HVDC-ADOPT-HE-0154-2,PRL-MIR-002-O Lot 7-2,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85044083,SEK,327582.0
HVDC-ADOPT-HE-0155,PRL-MIR-002-O Lot 8,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0156,PRL-MIR-002-O Lot 9,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85044083,SEK,327582.0
HVDC-ADOPT-HE-0157,PRL-MIR-002-O Lot 10,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85044083,SEK,327582.0
HVDC-ADOPT-HE-0158,PRL-DAS-005-O1 Lot 2,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85446010,SEK,403459.4
HVDC-ADOPT-HE-0159,PRL-DAS-005-O2 Lot 2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85446010,SEK,403459.4
HVDC-ADOPT-HE-0160,PRL-ZAK-002-O Lot 1,HITACHI,Sweden,Gothenburg,Khalifa port,MARIBO MAERSK,85049000,SEK,2079511.0
HVDC-ADOPT-HE-0161,PRL-MIR-008-O6,HITACHI,Brazil,Itaguai,Mina Zayed,BBC Kimberly,85042300,SEK,41917339.0
HVDC-ADOPT-HE-0162,PRL-ZAK-002-O Lot 2,HITACHI,Sweden,Gothenburg,Khalifa port,CAP SAN TAINARO,85049000,SEK,2079511.0
HVDC-ADOPT-HE-0163,PRL-ZAK-002-O Lot 3,HITACHI,Sweden,Gothenburg,Khalifa port,ELLY Maersk,85049000,SEK,320200.0
HVDC-ADOPT-HE-0164,PRL-SHU-019-O1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,231519.2
HVDC-ADOPT-HE-0165,PRL-SHU-019-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,231519.2
HVDC-ADOPT-HE-0166,PRL-SHU-019-O3 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,231519.2
HVDC-ADOPT-HE-0167,PRL-SHU-019-O4 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,231519.2
HVDC-ADOPT-HE-0168,PRL-SHU-020-O1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,152375.0
HVDC-ADOPT-HE-0169,PRL-SHU-020-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,152375.0
HVDC-ADOPT-HE-0170,PRL-SHU-020-O3 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,152375.0
HVDC-ADOPT-HE-0171,PRL-SHU-020-O4 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,152375.0
HVDC-ADOPT-HE-0172,PRL-SHU-021-O,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Cincinnati,85352600,SEK,20000.0
HVDC-ADOPT-HE-0173,PRL-ZAK-002-O Lot 6,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Branka,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0174,PRL-ZAK-002-O Lot 7,HITACHI,Sweden,Gothenburg,Khalifa port,MSC Branka,85044083,SEK,320200.0
HVDC-ADOPT-HE-0175,PRL-ZAK-002-O Lot 8,HITACHI,Sweden,Gothenburg,Khalifa port,Americana,85044083,SEK,320200.0
HVDC-ADOPT-HE-0176,PRL-ZAK-002-O Lot 9,HITACHI,Sweden,Gothenburg,Khalifa port,Americana,85044083,SEK,2079511.0
HVDC-ADOPT-HE-0177,PRL-ZAK-002-O Lot 10,HITACHI,Sweden,Gothenburg,Khalifa port,Americana,85044083,SEK,320200.0
HVDC-ADOPT-HE-0178,PRL-DAS-012-O,HITACHI,Sweden,Norrkoping,Mina Zayed,ANNETTE A DESGAGNES,85042300,SEK,40353354.0
