hvdc_code,case_no,flow_code,flow_code_original,flow_code_derived,override_reason,warehouse_count,has_mosb_leg,has_site_arrival,customs_code,customs_start_iso,customs_end_iso,last_status,requires_review
HVDC-ADOPT-HE-0005,207644,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207648,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207649,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207650,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207651,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207688,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207689,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207690,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207691,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207692,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207693,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207694,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207695,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207696,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207697,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207698,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207700,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
